,OBJECTID,NAME,X,Y,Parish,Community,Buil_Value,Occupancy,Roof_type,Roof_shape,Constr_typ,Area,class,exposed,geom_id
1201,16146,,-61.3676,15.3072,St._George,Louisville,191351.0,Commercial,Concrete,Flat shape,Concrete,629.65,2.0,40.0,16146
1202,16147,,-61.3673,15.3078,St._George,Louisville,16005.7,Residential,Galvanized,V shape,Concrete,98.044,1.0,100.0,16147
1203,16149,,-61.367,15.3073,St._George,Louisville,10419.1,Residential,Galvanized,V shape,Concrete,106.372,1.0,100.0,16149
1204,16150,,-61.3663,15.3071,St._George,Louisville,62843.8,Commercial,Concrete,Flat shape,Concrete,206.791,1.0,100.0,16150
1205,16374,,-61.257,15.4841,St._David,Salybia & St. Cyr & Gaulette & Sineku,11860.0,Residential,Galvanized,Bell shape,Concrete,56.4762,1.0,100.0,16374
1206,16476,,-61.3878,15.2985,St._Luke,Roseau,212041.0,Commercial,Galvanized,Bell shape,Wood,254.704,1.0,100.0,16476
1207,16478,FLOW Flagship Retail Store,-61.3887,15.2987,St._Luke,Roseau,162449.0,Commercial,Concrete,Flat shape,Concrete,195.134,1.0,100.0,16478
1208,16479,,-61.3888,15.2988,St._Luke,Roseau,43739.1,Residential,Galvanized,V shape,Concrete,156.016,1.0,100.0,16479
1209,16480,,-61.3879,15.2987,St._Luke,Roseau,39462.6,Residential,Galvanized,V shape,Concrete,140.762,1.0,100.0,16480
1210,16483,,-61.3882,15.2985,St._Luke,Roseau,25557.1,Residential,Galvanized,Bell shape,Concrete,54.6969,1.0,100.0,16483
1211,16484,,-61.388,15.2984,St._Luke,Roseau,24125.2,Commercial,Galvanized,V shape,Wood,17.3875,1.0,100.0,16484
1212,16485,,-61.3879,15.2984,St._Luke,Roseau,32870.5,Residential,Galvanized,V shape,Concrete,117.248,1.0,100.0,16485
1213,16487,,-61.3879,15.2985,St._Luke,Roseau,45492.7,Residential,Galvanized,V shape,Concrete,97.3623,1.0,100.0,16487
1214,16488,,-61.3888,15.2986,St._Luke,Roseau,38881.2,Residential,Galvanized,V shape,Concrete,83.2129,1.0,100.0,16488
1215,16489,,-61.3881,15.2985,St._Luke,Roseau,37436.5,Residential,Galvanized,V shape,Concrete,80.121,1.0,100.0,16489
1216,16490,,-61.3888,15.2986,St._Luke,Roseau,38451.4,Residential,Galvanized,V shape,Concrete,137.155,1.0,100.0,16490
1217,16491,,-61.3884,15.2982,St._Luke,Roseau,42011.9,Residential,Galvanized,V shape,Concrete,149.855,1.0,100.0,16491
1218,16492,,-61.3879,15.2974,St._Luke,Roseau,120499.0,Residential,Galvanized,V shape,Concrete,144.743,1.0,100.0,16492
1219,16493,Pirates_Ltd,-61.3878,15.2972,St._Luke,Roseau,154951.0,Commercial,Galvanized,V shape,Concrete,186.127,1.0,100.0,16493
1220,16494,,-61.388,15.2979,St._Luke,Roseau,33281.8,Residential,Galvanized,V shape,Concrete,118.715,1.0,100.0,16494
1221,16496,,-61.3879,15.2973,St._Luke,Roseau,235554.0,Commercial,Concrete,Flat shape,Concrete,282.948,1.0,100.0,16496
1222,16498,,-61.3876,15.2981,St._Luke,Roseau,39217.9,Residential,Galvanized,V shape,Concrete,83.9332,1.0,100.0,16498
1223,16499,,-61.388,15.2973,St._Luke,Roseau,40529.4,Residential,Galvanized,Bell shape,Wood,144.567,1.0,100.0,16499
1224,16500,,-61.3879,15.2979,St._Luke,Roseau,730826.0,Industry,Concrete,Flat shape,Concrete,624.638,1.0,100.0,16500
1225,16539,,-61.4682,15.5125,St._Peter,Dublanc,14855.3,Residential,Galvanized,V shape,Concrete,137.932,1.0,100.0,16539
1226,16543,,-61.4155,15.4342,St._Joseph,Salisbury,29969.0,Residential,Galvanized,Bell shape,Concrete,61.4746,1.0,100.0,16543
1227,16690,,-61.2599,15.4903,St._David,St. Cyr,19779.7,Residential,Galvanized,V shape,Concrete,118.797,1.0,100.0,16690
1228,17073,,-61.3877,15.2973,St._Luke,Roseau,40108.4,Residential,Galvanized,V shape,Wood,28.9069,1.0,100.0,17073
1229,17074,,-61.3885,15.298,St._Luke,Roseau,124592.0,Residential,Galvanized,V shape,Concrete,149.66,1.0,100.0,17074
1230,17075,,-61.3878,15.2976,St._Luke,Roseau,36102.6,Residential,Galvanized,V shape,Concrete,128.777,1.0,100.0,17075
1231,17077,,-61.3883,15.2979,St._Luke,Roseau,104018.0,Residential,Galvanized,V shape,Concrete,124.947,1.0,100.0,17077
1232,17078,,-61.3875,15.2973,St._Luke,Roseau,86118.0,Residential,Galvanized,V shape,Concrete,103.445,1.0,100.0,17078
1233,17080,,-61.3883,15.2978,St._Luke,Roseau,162760.0,Commercial,Galvanized,V shape,Concrete,195.507,1.0,100.0,17080
1234,17083,,-61.3876,15.2976,St._Luke,Roseau,127218.0,Commercial,Galvanized,Bell shape,Wood,152.815,1.0,100.0,17083
